State_City,totalpop,men,women,hispanic,white,black,native,asian,pacific,citizen,income,incomeerr,incomepercap,incomepercaperr,poverty,childpoverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment,un
Alabama-Autauga,0.0054925618403827,0.0053996625893346,0.0055827672288638,0.026026026026026,0.7595190380761523,0.2153667054714784,0.004343105320304,0.0240384615384615,0.0,0.0067218827423826,0.361049630823167,0.1005928385107896,0.3197481665048056,0.0638157460568864,0.1831210191082802,0.2279411764705882,0.3256198347107438,0.36144578313253,0.6421725239616615,0.1787564766839378,0.3075539568345324,0.9205816554809844,0.294314381270903,0.0016207455429497,0.0070224719101123,0.0332480818414322,0.0483870967741935,0.5524296675191815,0.0051611478009571,0.7677725118483414,0.2499999999999999,0.1502732240437158,0.0,0.2082191780821917,0.003630342862096
Alabama-Baldwin,0.0194291804102745,0.0192651257990147,0.0195884778187447,0.045045045045045,0.8326653306613225,0.1105937136204889,0.006514657980456,0.016826923076923,0.0,0.0244126146147573,0.3519574339996812,0.0470950912971306,0.3589799403904758,0.0394641325150135,0.1910828025477707,0.2352941176470588,0.3239669421487603,0.3825301204819277,0.7348242811501599,0.2357512953367876,0.2014388489208632,0.8892617449664431,0.294314381270903,0.0016207455429497,0.0140449438202247,0.0358056265984654,0.1048387096774193,0.5498721227621483,0.0185293490123728,0.8925750394944709,0.1076158940397351,0.1584699453551912,0.0408163265306122,0.2054794520547945,0.0118800972233426
Alabama-Barbour,0.0026744560310642,0.0029229720529091,0.0024331463967952,0.046046046046046,0.4629258517034068,0.5436554132712457,0.002171552660152,0.0096153846153846,0.0,0.0034124573380815,0.1988862722878339,0.1281953995731563,0.1832825424466695,0.0452055698541542,0.4028662420382165,0.5551470588235294,0.2198347107438016,0.3343373493975903,0.6070287539936103,0.2357512953367876,0.4154676258992806,0.8791946308724833,0.3645484949832775,0.006482982171799,0.0252808988764044,0.0383631713554987,0.043010752688172,0.4910485933503836,0.0018412638555914,0.7393364928909953,0.2483443708609271,0.1994535519125683,0.010204081632653,0.4821917808219178,0.0015565054311091
Alabama-Bibb,0.0022433074594381,0.002432810568561,0.002059299500451,0.022022022022022,0.7464929859719439,0.249126891734575,0.004343105320304,0.0024038461538461,0.0,0.0028800981168309,0.2494732368928945,0.1766658762153189,0.2101905495462308,0.0993202666138718,0.2452229299363057,0.3419117647058823,0.1322314049586777,0.3885542168674698,0.4376996805111822,0.4481865284974094,0.4262589928057553,0.8724832214765101,0.451505016722408,0.0081037277147487,0.0084269662921348,0.0383631713554987,0.0188172043010752,0.6112531969309463,0.0017758973707356,0.8183254344391786,0.1705298013245033,0.1830601092896175,0.0408163265306122,0.2273972602739726,0.0012786743473975
Alabama-Blount,0.0057405121164403,0.0057569708990884,0.0057245306002716,0.086086086086086,0.8807615230460922,0.0174621653084982,0.003257328990228,0.0024038461538461,0.0,0.0069897988462738,0.3126405439382403,0.1361631491581693,0.2453702153310338,0.0392661519171121,0.2436305732484076,0.3333333333333333,0.2479338842975206,0.2740963855421686,0.6325878594249201,0.305699481865285,0.3579136690647481,0.8914988814317675,0.3745819397993311,0.006482982171799,0.0126404494382022,0.0102301790281329,0.0618279569892473,0.7672634271099743,0.0047734792422579,0.9004739336492893,0.1274834437086092,0.1147540983606557,0.0408163265306122,0.210958904109589,0.0038480481927952
Alabama-Bullock,0.0010552580451098,0.0011360260804734,0.0009768320952272,0.044044044044044,0.2224448897795591,0.8230500582072177,0.013029315960912,0.0048076923076923,0.0,0.0013192387411978,0.1898029286258123,0.2662556319658525,0.1959411941997923,0.1281594403748432,0.3694267515923567,0.4705882352941177,0.0876033057851239,0.3012048192771084,0.4984025559105431,0.4766839378238344,0.474820143884892,0.7796420581655482,0.4983277591973244,0.0113452188006482,0.0702247191011236,0.0434782608695652,0.075268817204301,0.578005115089514,0.0008204248907808,0.8609794628751977,0.1539735099337748,0.1475409836065573,0.0,0.4931506849315068,0.0006553707078354
Alabama-Butler,0.0020191659885141,0.0019129239446918,0.0021223272597611,0.012012012012012,0.534068136272545,0.5098952270081489,0.001085776330076,0.0096153846153846,0.0,0.0025635602014927,0.1923791986118243,0.0722314441546122,0.2095040353638525,0.0396621131129149,0.3821656050955413,0.4803921568627451,0.2314049586776859,0.3493975903614458,0.5686900958466454,0.2227979274611399,0.4262589928057553,0.8870246085011186,0.4147157190635451,0.0,0.0112359550561797,0.0153452685421994,0.0456989247311827,0.5038363171355499,0.0016721307726642,0.8278041074249607,0.1721854304635761,0.1693989071038251,0.0204081632653061,0.2986301369863013,0.0011944982931801
Alabama-Calhoun,0.0116118232334688,0.0113707758200751,0.0118458808315894,0.035035035035035,0.7314629258517034,0.2363213038416763,0.002171552660152,0.0216346153846153,0.0,0.0146414496973457,0.2762540503213697,0.0310647379653782,0.2594688724423161,0.0248135682703095,0.304140127388535,0.3872549019607844,0.228099173553719,0.3825301204819277,0.6421725239616615,0.227979274611399,0.3669064748201438,0.8959731543624161,0.31438127090301,0.0032414910858995,0.0168539325842696,0.0306905370843989,0.0725806451612903,0.4910485933503836,0.0102124885365954,0.7756714060031595,0.2483443708609271,0.1366120218579234,0.010204081632653,0.336986301369863,0.0070224374278804
Alabama-Chambers,0.0033864289611501,0.003279067091662,0.0034906775857187,0.004004004004004,0.5741482965931863,0.469150174621653,0.002171552660152,0.0192307692307692,0.0,0.0043630633659623,0.209625157143616,0.1270571496324401,0.2543953651920565,0.0826898963901537,0.321656050955414,0.4558823529411765,0.1619834710743802,0.2861445783132529,0.70926517571885,0.2538860103626943,0.4388489208633093,0.8937360178970917,0.3979933110367893,0.0032414910858995,0.0042134831460674,0.0102301790281329,0.0564516129032258,0.5166240409207161,0.0029397659707257,0.9494470774091628,0.1043046357615893,0.0765027322404371,0.0,0.2438356164383561,0.0019069884663774
Alabama-Cherokee,0.0025824086003381,0.0026152056423572,0.0025505625963824,0.015015015015015,0.9188376753507014,0.0558789289871944,0.006514657980456,0.0072115384615384,0.0,0.0033936039826224,0.2283850062857446,0.0682949964429689,0.2667861089715683,0.0952286675905761,0.2834394904458598,0.3688725490196079,0.2611570247933884,0.3313253012048192,0.4920127795527157,0.3108808290155441,0.3866906474820143,0.8803131991051455,0.4046822742474916,0.0032414910858995,0.0084269662921348,0.0179028132992327,0.0672043010752688,0.5754475703324807,0.0021773727117146,0.759873617693523,0.2102649006622516,0.2158469945355191,0.0510204081632653,0.2164383561643835,0.0013535810146922
