,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,un
Alabama-Chilton,0.004356712484171876,0.004363124730931879,0.004350486177678592,0.07607607607607607,0.8066132264529058,0.1187427240977881,0.0043431053203040184,0.00721153846153846,0.0,0.005233956083919924,0.27558121005010894,0.08323452691486839,0.2598874786510833,0.0879693790008579,0.28184713375796183,0.37500000000000006,0.22644628099173555,0.28012048192771083,0.6261980830670927,0.35233160621761667,0.35071942446043164,0.8501118568232663,0.4749163879598662,0.003241491085899514,0.015449438202247192,0.03580562659846547,0.05107526881720429,0.6930946291560102,0.0038471304436744768,0.873617693522907,0.15562913907284764,0.11202185792349725,0.0510204081632653,0.24931506849315066,0.0030278327121173935
Alabama-Choctaw,0.0013259213235543895,0.0012820230242437832,0.001368546674117425,0.004004004004004004,0.5601202404809619,0.49941792782305,0.0,0.0,0.0,0.001734508702229277,0.20395028064521845,0.093004505572682,0.249104182713238,0.08361380584702698,0.3503184713375796,0.42156862745098045,0.1884297520661157,0.3132530120481927,0.4952076677316295,0.43005181347150273,0.3920863309352518,0.8982102908277405,0.34448160535117056,0.001620745542949757,0.026685393258426966,0.03580562659846547,0.02150537634408602,0.6598465473145779,0.0009369196162663743,0.8293838862559244,0.18211920529801323,0.14754098360655737,0.03061224489795918,0.37260273972602737,0.0007069786458377696
Alabama-Clarke,0.0024889665115707302,0.0023844819403600463,0.002590421272830873,0.003003003003003003,0.5350701402805611,0.5273573923166471,0.0,0.009615384615384616,0.011331444759206801,0.0031716636052014752,0.19044920941268126,0.13364951387242116,0.23753390710291014,0.08948723025143535,0.37101910828025475,0.3651960784313726,0.1256198347107438,0.3012048192771084,0.68370607028754,0.2564766839378239,0.4838129496402877,0.8590604026845639,0.4280936454849498,0.003241491085899514,0.018258426966292134,0.06649616368286446,0.029569892473118278,0.4629156010230179,0.0017472051513104687,0.9178515007898895,0.12913907284768208,0.0901639344262295,0.0,0.5315068493150684,0.0014547926989298115
Alabama-Clay,0.001340067140830477,0.001340462244118618,0.001339683494620257,0.03203203203203203,0.8006012024048097,0.1676367869615832,0.007600434310532031,0.0,0.0,0.0016921713426020176,0.2198062928271686,0.20142281242589521,0.21812732326445863,0.062957830132647,0.24363057324840764,0.2757352941176471,0.13223140495867772,0.25,0.5335463258785944,0.35233160621761667,0.5233812949640287,0.8847874720357942,0.34782608695652173,0.00972447325769854,0.025280898876404494,0.023017902813299233,0.056451612903225805,0.649616368286445,0.0011041111204354833,0.8293838862559244,0.14735099337748342,0.21311475409836064,0.0,0.25753424657534246,0.0008066871862500418
Alabama-Cleburne,0.0014860081430098295,0.0014745286897138276,0.0014971547188156909,0.02302302302302302,0.9268537074148296,0.03376018626309662,0.0021715526601520092,0.009615384615384616,0.0,0.001866647570753418,0.2439665704623121,0.1713540431586436,0.2389906567094203,0.08209595459644954,0.2484076433121019,0.3223039215686275,0.2545454545454545,0.2018072289156626,0.6070287539936103,0.36010362694300524,0.37230215827338126,0.8098434004474273,0.5919732441471571,0.001620745542949757,0.0028089887640449437,0.02557544757033248,0.09139784946236558,0.7263427109974423,0.0012950330316479496,0.8104265402843602,0.1572847682119205,0.22950819672131148,0.0,0.2273972602739726,0.0009094020143129354
Alabama-Coffee,0.005060516702872985,0.005081987798942391,0.005039668218733422,0.06406406406406406,0.7164328657314629,0.20023282887077995,0.008686210640608037,0.02884615384615384,0.0,0.0062009347625940825,0.32075003983922656,0.08517903723025848,0.31911188506747934,0.0489012076816472,0.25,0.3235294117647059,0.3090909090909091,0.40963855421686746,0.5942492012779553,0.26943005181347157,0.2607913669064748,0.8959731543624161,0.3210702341137123,0.001620745542949757,0.014044943820224719,0.03324808184143223,0.07526881720430106,0.40920716112531963,0.004497990789581834,0.7156398104265405,0.293046357615894,0.1557377049180328,0.0510204081632653,0.19452054794520546,0.0033329709086554527
Alabama-Colbert,0.005415158319090388,0.005310284958937854,0.00551699059531584,0.024024024024024024,0.7905811623246494,0.1816065192083818,0.006514657980456026,0.00721153846153846,0.0028328611898017003,0.0069451461622919985,0.26627653735148826,0.10746976523594973,0.2790931315093266,0.05305880023757672,0.25477707006369427,0.3198529411764707,0.22809917355371903,0.3162650602409638,0.6900958466453675,0.23316062176165805,0.37230215827338126,0.9563758389261745,0.2006688963210702,0.003241491085899514,0.012640449438202247,0.017902813299232736,0.04032258064516128,0.4578005115089514,0.0045795370974217355,0.8467614533965246,0.1705298013245033,0.14207650273224043,0.0,0.2465753424657534,0.003097478376023453
Alabama-Conecuh,0.0012731235548478661,0.001240367386547534,0.0013049298703277485,0.016016016016016016,0.5110220440881763,0.5203725261932479,0.003257328990228013,0.0,0.0,0.0016289960637832167,0.1274943782424704,0.12952335783732513,0.16894946585847762,0.08288787698805516,0.5159235668789809,0.5085784313725491,0.09752066115702476,0.4819277108433734,0.5207667731629393,0.2512953367875648,0.5017985611510791,0.9888143176733781,0.14381270903010032,0.0,0.008426966292134831,0.007672634271099744,0.03494623655913978,0.6342710997442454,0.0007887124377319513,0.8341232227488153,0.119205298013245,0.226775956284153,0.08163265306122448,0.6191780821917808,0.0007340352346933611
Alabama-Coosa,0.001090024877710904,0.0011196469219618024,0.0010612618039604997,0.021021021021021023,0.6533066132264529,0.35739231664726423,0.0010857763300760046,0.0,0.0,0.0014426124532366498,0.1833755334029782,0.12810054541142993,0.19491979505040016,0.055962515673464004,0.28503184713375795,0.33700980392156865,0.0743801652892562,0.4457831325301205,0.5686900958466454,0.2849740932642488,0.49640287769784175,0.8970917225950784,0.3377926421404682,0.008103727714748784,0.012640449438202247,0.02557544757033248,0.056451612903225805,0.6061381074168798,0.000817620388130223,0.8151658767772512,0.19370860927152317,0.16120218579234974,0.0,0.4657534246575342,0.0005559126913940505
Alabama-Covington,0.003765676329953379,0.0036998699171275243,0.0038295745096106537,0.015015015015015015,0.8346693386773546,0.15133876600698484,0.005428881650380022,0.00721153846153846,0.0028328611898017003,0.0048420047467456874,0.22969527418241056,0.06654019445103154,0.25282140584709156,0.04025605490661915,0.29936305732484075,0.3823529411764706,0.20991735537190084,0.3192771084337349,0.623003194888179,0.3497409326424871,0.34892086330935246,0.8702460850111857,0.3745819397993311,0.003241491085899514,0.021067415730337078,0.04859335038363171,0.059139784946236555,0.5268542199488491,0.0030504359599370324,0.8230647709320695,0.16556291390728478,0.1830601092896175,0.04081632653061224,0.3068493150684931,0.0021352158038537602
